time,epoch,accuracy,top5_accuracy,top10_accuracy,top20_accuracy,macro_recall,micro_recall,micro_precision,micro_f1,cohen_kappa,cross_entropy
2022-08-03-18:39:22.997407,23,0.6025426387786865,0.8192429542541504,0.8813013434410095,0.9243020415306091,0.2739422023296356,0.6025426387786865,0.6025426387786865,0.6025426387786865,0.527527391910553,2.215759754180908,
2022-08-03-19:02:14.712654,24,0.6045345067977905,0.8211855888366699,0.8834243416786194,0.9263020753860474,0.27415743470191956,0.6045345067977905,0.6045345067977905,0.6045345067977905,0.5286695957183838,2.176691770553589,
2022-08-03-19:25:02.953223,25,0.5981245636940002,0.8175134062767029,0.8803586959838867,0.9227856397628784,0.2785714566707611,0.5981245636940002,0.5981245636940002,0.5981245636940002,0.5236666798591614,2.224388360977173,
2022-08-03-19:47:55.374879,26,0.5994196534156799,0.8191937804222107,0.8812849521636963,0.9239003658294678,0.2742214798927307,0.5994196534156799,0.5994196534156799,0.5994196534156799,0.525124192237854,2.2210447788238525,
2022-08-03-20:10:47.304449,27,0.5998049378395081,0.8165953755378723,0.8792111277580261,0.9221217036247253,0.27480101585388184,0.5998049378395081,0.5998049378395081,0.5998049378395081,0.5245225429534912,2.2491331100463867,
2022-08-03-20:33:38.448618,28,0.6053459644317627,0.8219150900840759,0.8846620321273804,0.927375853061676,0.27072060108184814,0.6053459644317627,0.6053459644317627,0.6053459644317627,0.5291495323181152,2.1823747158050537,
2022-08-03-20:56:29.762901,29,0.5999770760536194,0.8174232244491577,0.8793177008628845,0.9219741225242615,0.26974713802337646,0.5999770760536194,0.5999770760536194,0.5999770760536194,0.5249357223510742,2.255406379699707,
2022-08-03-21:19:19.606835,30,0.6024033427238464,0.8197019696235657,0.8824079036712646,0.9251708984375,0.26722952723503113,0.6024033427238464,0.6024033427238464,0.6024033427238464,0.526863694190979,2.2124106884002686,
2022-08-03-21:42:09.591772,31,0.6024197340011597,0.8186527490615845,0.8823751211166382,0.9252528548240662,0.27537310123443604,0.6024197340011597,0.6024197340011597,0.6024197340011597,0.5260840654373169,2.206325054168701,
2022-08-03-22:05:02.859841,32,0.6004278659820557,0.8150789141654968,0.8769487738609314,0.9203921556472778,0.2681226134300232,0.6004278659820557,0.6004278659820557,0.6004278659820557,0.524297297000885,2.28839111328125,
2022-08-03-22:27:56.346789,33,0.595903217792511,0.8117673993110657,0.8745225071907043,0.9182363748550415,0.2755308449268341,0.595903217792511,0.595903217792511,0.595903217792511,0.5198571681976318,2.3065524101257324,
2022-08-03-22:50:49.190263,34,0.5940507054328918,0.8107427954673767,0.8734159469604492,0.916736364364624,0.2761112451553345,0.5940507054328918,0.5940507054328918,0.5940507054328918,0.5187784433364868,2.3564577102661133,
2022-08-03-23:13:41.569388,35,0.6041902303695679,0.8210872411727905,0.8828341364860535,0.9248020648956299,0.2659045457839966,0.6041902303695679,0.6041902303695679,0.6041902303695679,0.5281622409820557,2.2175519466400146,
2022-08-03-23:36:35.445228,36,0.5987721085548401,0.8155871629714966,0.8782520890235901,0.9215970635414124,0.27333205938339233,0.5987721085548401,0.5987721085548401,0.5987721085548401,0.522332489490509,2.2486155033111572,
2022-08-03-23:59:27.464972,37,0.6008131504058838,0.8184232711791992,0.8809406757354736,0.9237118363380432,0.2714550197124481,0.6008131504058838,0.6008131504058838,0.6008131504058838,0.5251691341400146,2.239241361618042,
2022-08-04-00:22:19.884717,38,0.5953376293182373,0.8120461106300354,0.8747848272323608,0.9190560579299927,0.2677925229072571,0.5953376293182373,0.5953376293182373,0.5953376293182373,0.5195416212081909,2.314844846725464,
2022-08-04-00:45:14.357863,39,0.5979524254798889,0.8151527047157288,0.8777849078178406,0.9211134314537048,0.2686886191368103,0.5979524254798889,0.5979524254798889,0.5979524254798889,0.5219979286193848,2.284921646118164,
2022-08-04-01:08:10.662805,40,0.5945343375205994,0.8098411560058594,0.8734979033470154,0.9177773594856262,0.2740475535392761,0.5945343375205994,0.5945343375205994,0.5945343375205994,0.5190678834915161,2.316589832305908,
2022-08-04-01:31:04.850267,41,0.5992229580879211,0.8138821721076965,0.8769159913063049,0.9202937483787537,0.27054572105407715,0.5992229580879211,0.5992229580879211,0.5992229580879211,0.5226336717605591,2.2941958904266357,
2022-08-04-01:54:02.363570,42,0.5966901183128357,0.8145461678504944,0.8762766718864441,0.9191052317619324,0.27698615193367004,0.5966901183128357,0.5966901183128357,0.5966901183128357,0.5227954983711243,2.315809965133667,
2022-08-04-02:17:01.891676,43,0.5997803211212158,0.8164068460464478,0.8786291480064392,0.9217938184738159,0.2719882130622864,0.5997803211212158,0.5997803211212158,0.5997803211212158,0.5239397287368774,2.275550127029419,
2022-08-04-02:40:00.880009,44,0.601845920085907,0.8184888362884521,0.8799652457237244,0.9220643043518066,0.26655393838882446,0.601845920085907,0.601845920085907,0.601845920085907,0.5261759757995605,2.2733256816864014,
2022-08-04-03:02:57.822157,45,0.5974196195602417,0.8128411769866943,0.8747930526733398,0.9184658527374268,0.2753235697746277,0.5974196195602417,0.5974196195602417,0.5974196195602417,0.5220344066619873,2.3262014389038086,
2022-08-04-03:25:56.680989,46,0.6043213605880737,0.8184806108474731,0.8804816603660583,0.922670841217041,0.276672899723053,0.6043213605880737,0.6043213605880737,0.6043213605880737,0.5271726846694946,2.2537248134613037,
2022-08-04-03:48:55.172340,47,0.5960507392883301,0.8136772513389587,0.8760143518447876,0.9194658994674683,0.2770552337169647,0.5960507392883301,0.5960507392883301,0.5960507392883301,0.5212850570678711,2.29022479057312,
2022-08-04-04:11:54.011421,48,0.6010180711746216,0.8166773319244385,0.8790472149848938,0.9214085340499878,0.2720329463481903,0.6010180711746216,0.6010180711746216,0.6010180711746216,0.5253806114196777,2.263324022293091,
2022-08-04-04:35:12.343281,49,0.5972229242324829,0.812669038772583,0.8742192387580872,0.9179494976997375,0.28034305572509766,0.5972229242324829,0.5972229242324829,0.5972229242324829,0.5219860076904297,2.3135650157928467,
2022-08-04-10:54:43.683756,0,0.5896899700164795,0.840874433517456,0.9138510227203369,0.9548271298408508,0.10965991020202637,0.5896899700164795,0.5896899700164795,0.5896899700164795,0.5097232460975647,1.907555103302002,
2022-08-04-11:15:36.674641,1,0.3931785821914673,0.718979001045227,0.8176363706588745,0.8822439908981323,0.03903023898601532,0.3931785821914673,0.3931785821914673,0.3931785821914673,0.24604594707489014,2.6738619804382324,
2022-08-04-11:36:37.585463,2,0.6299037933349609,0.8796045780181885,0.9397284984588623,0.9704912900924683,0.24871496856212616,0.6299037933349609,0.6299037933349609,0.6299037933349609,0.5530480742454529,1.4612493515014648,
2022-08-04-11:57:44.696275,3,0.6396744251251221,0.8834735155105591,0.9420974254608154,0.9721962809562683,0.28351524472236633,0.6396744251251221,0.6396744251251221,0.6396744251251221,0.560440182685852,1.4139589071273804,
2022-08-04-12:18:55.636120,4,0.6367727518081665,0.8788586854934692,0.9394252300262451,0.9699585437774658,0.29012200236320496,0.6367727518081665,0.6367727518081665,0.6367727518081665,0.5571160912513733,1.4320539236068726,
2022-08-04-12:40:06.704899,5,0.6482401490211487,0.8861047029495239,0.9430072903633118,0.9718356132507324,0.3035694360733032,0.6482401490211487,0.6482401490211487,0.6482401490211487,0.571794867515564,1.3818796873092651,
